酒店: 3806次
改正: 9次
备用: 9次
没敢: 9次
十元: 9次
柜台: 9次
气死: 9次
宣传: 9次
关键: 9次
厦门: 9次
毛发: 9次
阴暗: 9次
干什么: 9次
双床: 9次
销售: 9次
用过: 9次
诚意: 9次
同志: 9次
岂有此理: 9次
金额: 9次
不堪: 9次
屋里: 9次
晚饭: 9次
四点: 9次
被单: 9次
一小: 9次
280: 9次
健身房: 9次
牛肉: 9次
经营: 9次
耐心: 9次
找个: 9次
冷漠: 9次
小区: 9次
进出: 9次
平方: 9次
经验: 9次
厘米: 9次
脸上: 9次
回房: 9次
两张床: 9次
我店: 9次
菜单: 9次
睡得: 9次
人员素质: 9次
尴尬: 9次
改建: 9次
无论是: 9次
韩国: 9次
香格里拉: 9次
睡眠: 9次
茶叶: 9次
没住: 9次
水漫金山: 9次
高兴: 9次
刺鼻: 9次
儿子: 9次
体现: 9次
洗手: 9次
一遍: 9次
天亮: 9次
贵阳: 9次
西安: 9次
去年: 9次
自来水: 9次
级别: 9次
管理层: 9次
巴士: 9次
老公: 9次
节能: 9次
主管: 9次
枕套: 9次
单人房: 9次
接近: 9次
换到: 9次
来电: 9次
床头灯: 9次
低档: 9次
长沙: 9次
企业: 9次
七点: 9次
密封: 9次
四川: 9次
改成: 9次
冲凉: 9次
起码: 9次
桂林: 9次
送过来: 9次
门市价: 9次
更差: 9次
开放: 9次
极小: 9次
几年: 9次
阿姨: 9次
弄脏了: 9次
欺诈: 9次
短信: 9次
状态: 9次
用具: 9次
携成: 9次
服务指南: 8次
打折: 8次
信誉: 8次
职员: 8次
夜晚: 8次
脏乱差: 8次
咸菜: 8次
120: 8次
过后: 8次
周末: 8次
喷头: 8次
标志: 8次
超差: 8次
国庆: 8次
一个个: 8次
青岛: 8次
旺季: 8次
晕死: 8次
蚊香: 8次
公交车: 8次
可乐: 8次
想着: 8次
补偿: 8次
高度重视: 8次
同等: 8次
代表: 8次
卫生纸: 8次
名不副实: 8次
内有: 8次
应有: 8次
晓得: 8次
大理: 8次
大部分: 8次
评上: 8次
远离: 8次
蛮横: 8次
低于: 8次
打扰: 8次
业务: 8次
清清楚楚: 8次
拉萨: 8次
招牌: 8次
笔记本: 8次
压抑: 8次
南京: 8次
地处: 8次
理睬: 8次
360: 8次
乱七八糟: 8次
马马虎虎: 8次
真实: 8次
厉害: 8次
光线: 8次
咖啡厅: 8次
放心: 8次
更新: 8次
预付: 8次
屁股: 8次
很破: 8次
删除: 8次
连接: 8次
厨师: 8次
吵架: 8次
新鲜: 8次
修路: 8次
灰尘: 8次
迷你: 8次
没人来: 8次
正面: 8次
杭州: 8次
致歉: 8次
最最: 8次
真是太: 8次
上班: 8次
购买: 8次
外表: 8次
脸色: 8次
天花板: 8次
保持: 8次
办好: 8次
跳蚤: 8次
冰冷: 8次
浴帘: 8次
地下室: 8次
小吃: 8次
豆浆: 8次
记录: 8次
门卡: 8次
指示: 8次
庐山: 8次
差差: 8次
一到: 8次
卫浴: 8次
衣橱: 8次
门前: 8次
没错: 8次
赶时间: 8次
前厅: 8次
说话声: 8次
安全感: 8次
考察: 8次
签约: 8次
区域: 8次
北方: 8次
配置: 8次
电视节目: 8次
看不出: 8次
女服务员: 8次
两份: 8次
上帝: 8次
阁下: 8次
面条: 8次
双早: 8次
不好意思: 8次
一根: 8次
油漆味: 8次
落后: 8次
破烂: 8次
多收: 8次
一堆: 8次
斑驳: 8次
人大: 8次
去过: 8次
小小的: 8次
对外: 8次
水箱: 8次
其间: 8次
落实: 8次
锅炉房: 8次
西楼: 8次
英语: 8次
拿出: 8次
密码: 8次
旅行社: 8次
布置: 8次
双人间: 8次
路过: 8次
技术人员: 8次
屋内: 8次
催促: 8次
十二点: 8次
自称: 8次
煎蛋: 8次
最起码: 8次
核实: 8次
黑黑的: 8次
110: 8次
新开: 8次
一圈: 8次
要钱: 8次
几家: 8次
提了: 8次
上菜: 8次
搞定: 8次
瓶装水: 8次
可想而知: 8次
缘故: 8次
郑州: 8次
干脆: 8次
本次: 8次
没人管: 8次
双人: 8次
饮水机: 8次
凉水: 8次
一清二楚: 8次
噩梦: 8次
墙面: 8次
作用: 8次
小强: 8次
旅游局: 8次
238: 8次
房是: 8次
已有: 8次
多分钟: 8次
销售部: 8次
具备: 8次
海鲜: 7次
综合: 7次
深夜: 7次
保险箱: 7次
好几个: 7次
该店: 7次
商店: 7次
格局: 7次
堵塞: 7次
220: 7次
冷得: 7次
每晚: 7次
通道: 7次
浓烈: 7次
水流: 7次
索性: 7次
廉价: 7次
迹象: 7次
二星级: 7次
走道: 7次
出奇: 7次
功能: 7次
有事: 7次
设备陈旧: 7次
不用说: 7次
自行车: 7次
写明: 7次
算不上: 7次
车程: 7次
08: 7次
一段: 7次
第一印象: 7次
600: 7次
杜绝: 7次
监督: 7次
平米: 7次
十一点: 7次
多元: 7次
改为: 7次
宰客: 7次
高速: 7次
父母: 7次
酒店客房: 7次
非要: 7次
公园: 7次
开发区: 7次
开灯: 7次
脱落: 7次
写字楼: 7次
办公: 7次
有种: 7次
炒菜: 7次
油烟味: 7次
四周: 7次
暖风: 7次
每位: 7次
房屋: 7次
漂亮: 7次
淡季: 7次
前往: 7次
星期: 7次
时尚: 7次
一问: 7次
匆忙: 7次
注重: 7次
外滩: 7次
一周: 7次
一眼: 7次
到极点: 7次
段时间: 7次
健身: 7次
包装: 7次
持续: 7次
一个多: 7次
再次发生: 7次
一段时间: 7次
邀请: 7次
招呼: 7次
惨不忍睹: 7次
两样: 7次
很远: 7次
独立: 7次
网页: 7次
难怪: 7次
发誓: 7次
季节: 7次
赶到: 7次
吃晚饭: 7次
第一间: 7次
延住: 7次
门铃: 7次
还会: 7次
湖景: 7次
公共: 7次
卧室: 7次
泡温泉: 7次
晚点: 7次
连个: 7次
提升: 7次
楼顶: 7次
白粥: 7次
假期: 7次
务必: 7次
这件: 7次
期望: 7次
打扫卫生: 7次
IT: 7次
出面: 7次
破洞: 7次
冻醒: 7次
警察: 7次
此店: 7次
抽水马桶: 7次
冷热水: 7次
放到: 7次
差价: 7次
完毕: 7次
盒子: 7次
老式: 7次
号码: 7次
职业: 7次
昨天: 7次
劣质: 7次
合作伙伴: 7次
妈妈: 7次
忍不住: 7次
双层: 7次
没窗: 7次
188: 7次
商场: 7次
一碗: 7次
故障: 7次
痕迹: 7次
接线: 7次
洗脸: 7次
一双: 7次
更让人: 7次
工程部: 7次
国贸: 7次
拐角: 7次
宽敞: 7次
.......: 7次
脏得: 7次
熟悉: 7次
天天: 7次
周六: 7次
昆明: 7次
方巾: 7次
各项: 7次
高架: 7次
床间: 7次
角落: 7次
奇慢: 7次
排水: 7次
谅解: 7次
弥漫着: 7次
头顶: 7次
浴袍: 7次
掉下来: 7次
成本: 7次
房前: 7次
频繁: 7次
气派: 7次
一床: 7次
星级宾馆: 7次
牙膏: 7次
在外: 7次
下咽: 7次
电吹风: 7次
充满: 7次
音乐: 7次
狗狗: 7次
显然: 7次
动静: 7次
场所: 7次
路程: 7次
在意: 7次
小伙子: 7次
溪口: 7次
未能: 7次
频道: 7次
放水: 7次
账单: 7次
年前: 7次
逛街: 7次
倒霉: 7次
公开: 7次
平安: 7次
很烂: 7次
速度慢: 7次
花费: 7次
洗衣房: 7次
管子: 7次
深刻: 7次
屋子里: 7次
游玩: 7次
凯悦: 7次
观景: 7次
依旧: 7次
戴眼镜: 7次
貌似: 7次
158: 7次
十点: 7次
1881: 7次
厕纸: 7次
少得: 6次
昨晚: 6次
长途电话: 6次
财务: 6次
来不及: 6次
不在乎: 6次
文件: 6次
青年: 6次
洗衣: 6次
破损: 6次
济南: 6次
难忘: 6次
旅游景点: 6次
车辆: 6次
很晚: 6次
差远了: 6次
等于: 6次
没听说过: 6次
全天: 6次
还收: 6次
后果: 6次
盖章: 6次
遇上: 6次
买单: 6次
背面: 6次
整整: 6次
点后: 6次
后门: 6次
喧哗: 6次
大跌眼镜: 6次
窗口: 6次
好找: 6次
付现金: 6次
包车: 6次
处罚: 6次
两条: 6次
一带: 6次
一家人: 6次
看不见: 6次
只会: 6次
换个: 6次
较晚: 6次
一顿: 6次
中有: 6次
受气: 6次
给钱: 6次
山景: 6次
偏贵: 6次
降到: 6次
开房: 6次
两分钟: 6次
大楼: 6次
才行: 6次
一出: 6次
街上: 6次
屋顶: 6次
酒廊: 6次
照样: 6次
不靠: 6次
打到: 6次
形同虚设: 6次
慎重考虑: 6次
免得: 6次
甚远: 6次
三思: 6次
午饭: 6次
管家: 6次
五一: 6次
外地: 6次
开封: 6次
十一: 6次
硬是: 6次
加钱: 6次
当面: 6次
太近: 6次
感想: 6次
参考: 6次
260: 6次
开通: 6次
世纪: 6次
西餐: 6次
再三: 6次
堂堂: 6次
气温: 6次
午餐: 6次
没好: 6次
自驾游: 6次
房里: 6次
住进: 6次
烧烤: 6次
申请: 6次
下水管: 6次
超时: 6次
够不上: 6次
第二间: 6次
旧旧: 6次
好觉: 6次
太重: 6次
吃饱: 6次
可言: 6次
手段: 6次
再订: 6次
不划算: 6次
当事人: 6次
不能容忍: 6次
再换: 6次
房租: 6次
推开: 6次
